# "Loading... ","加载中... "
"Quickstart guide","快速入门指南","b"
"Control panel","控制面板","b"
"Dwarf Fortress","矮人要塞","c"
"Histories of Greed and Tenacity","贪婪与韧性的编年史","c"
"Histories of Greed and Toil","贪婪与辛劳的编年史","c"
"Histories of Jealousy and Mettle","嫉妒与勇气的编年史","c"
"Histories of Avarice and Exertion","贪婪与努力的编年史","c"
"Histories of Gluttony and Diligence","暴食与勤奋的编年史","c"
"Histories of Gluttony and Exertion","暴食与努力的编年史","c"
"Histories of Avarice and Dynamism","贪婪与活力的编年史","c"
"Histories of Jealousy and Resourcefulness","嫉妒与智谋的编年史","c"
"Histories of Jealousy and Tenacity","嫉妒与韧性的编年史","c"
# "Virtual keyboard for typing with the mouse.",""
"World name","世界名称"
"Former apprentice","前任学徒"
"Considers quarreler","杠精"
"Considers flatterer","马屁精"
"Hunter","猎人"
"Protector of the weak","庇护者"
"Preserver of knowledge","博学大师"
"Treasure hunter","淘金者"
"Thief","小偷"
"No groups","没有团体"
"Civilization","文明"
"Site government","地区政府"
"Vessel crew","船员"
"Migrating group","迁徙族群"
"Nomadic group","游牧族群"
"Religion","宗教"
"Military organization","军事组织"
"Outcast","弃儿"
"Performance troupe","表演团"
"Merchant company","商行"
"Legendary hero","传奇英雄"
"Famous her","名声显赫的的她"
"Greatly respected for heroic acts","为人传颂的英雄之举"
"Respected for heroic acts","因为英雄之举被尊敬"
"Legendary intruder","传奇侵略者"
"Infamous intruder","臭名昭著的入侵者"
"Noted intruder according","著名的入侵者,被此记录:"
"Certainly considered an intruder","被肯定地看做是一名入侵者"
"Considered an intruder","被看做是一名入侵者"
"Legendary monster","传奇怪物"
"Infamous monster","臭名昭著的怪物"
"Noted monster","著名的怪物"
"Certainly feared as a monster","害怕被当作怪物"
"Feared as a monster","像妖魔一样令人恐惧"
"Legendary brigand","传奇盗贼"
"Infamous brigand","臭名昭著的强盗"
"Noted brigand","著名的强盗"
"Certainly feared as a brigand","害怕被当作盗贼"
"Feared as a brigand","作为山贼而感到"
"Legendary bully","传奇恶霸"
"Infamous bully","臭名昭著的恶霸"
"Noted bully","著名的恶霸"
"Certainly considered a bully","被肯定地看做是一名恶霸"
"Considered a bully","被认为是恶霸"
"Legendary brawler","传奇斗士"
"Famous brawler","名声显赫的斗士"
"Moted brawler","出名的斗士"
"Certainly considered a brawler","被肯定地看做是一名斗士"
"Considered a brawler","被看作是一名斗士"
"Legendary villain","传奇恶棍"
"Infamous villain","臭名昭著的恶棍"
"Noted villain","著名的恶棍"
"Greatly feared as a villain","作为一名令人人闻风丧胆的恶棍"
"Feared as a villain","像恶棍一样令人恐惧"
"Legendary hunter","传奇猎人"
"Great hunter","伟大的猎人"
"Talented hunter","天才猎人"
"Skilled hunter","资深的猎人"
"Respected as a hunter","受人敬重的猎人"
"Legendary killer","传奇杀手"
"Infamous killer","臭名昭著的杀手"
"Noted killer","著名杀手"
"Greatly feared as a killer","令人胆寒的屠夫"
"Feared as a killer","像杀手一样令人恐惧"
"Legendary murderer","传奇凶手"
"Infamous murderer","臭名昭著的杀人犯"
"Noted murderer","著名的谋杀犯"
"Greatly feared as a murderer","令人闻风丧胆的谋杀犯"
"Feared as a murderer","令人恐惧的屠夫"
"Legendary enemy fighter","传奇退敌斗士"
"Infamous enemy fighter","臭名昭著的斗士"
"Noted enemy fighter","著名的敌方战士"
"Greatly feared for violent oppositoin","非常害怕暴力的反抗"
"Feared for violent opposition","害怕暴力的反抗"
"Legendary fighter","传奇斗士"
"Famous fighter","名声显赫的战士"
"Noted fighter","著名的战士"
"Greatly respected for fighter","作为一名战士受到极大的尊重"
"Respected for fighter","作为一名战士受到尊重"
"Legendary loyal soldier","传奇的忠诚军人"
"Famous loyal soldier","名声显赫的忠诚军人"
"Noted loyal soldier","著名的忠诚士兵"
"Greatly respected for loyalty","因忠诚受人敬仰"
"Respected for loyalty","因忠诚而受人尊敬"
"Legendary protector of the weak","传奇庇护者"
"Famous protector of the weak","声名显赫的庇护者"
"Noted protector of the weak","著名的庇护者"
"Greatly respected for protecting the weak","极大地受人尊敬的庇护弱者之人"
"Respected for protecting the weak","因庇护弱者而极大地受人尊敬"
"Legendary preserver of the knowledge","传奇博学大师"
"Famous preserver of the knowledge","名声显赫的博学大师"
"Noted preserver of the knowledge","著名的博学大师"
"Greatly respected for preserving the knowledge","因博学多才而备受崇敬"
"Respected for preserving the knowledge","因博学多才而受人尊敬"
"Legendary treasure hunter","传奇寻宝者"
"Famous treasure hunter","名声显赫的宝物猎人"
"Noted treasure hunter","著名的宝物猎人"
"Greatly respected for hunting treasure","因狩猎宝物而受人尊敬"
"Respected for hunting treasure","因狩猎宝物而受人尊敬"
"Legendary thief","传奇盗贼"
"Infamous thief","名声显赫的盗贼"
"Noted thief","著名的盗贼"
"Certainly considered a thief","被肯定地看做是一名盗贼"
"Considered a thief","被认为是小偷"
"Former mercenary","前雇佣兵"
"Enemy","敌人"
"Criminal","刑事"
"Member","会员"
"Former member","前会员"
"Slave","奴隶"
"Former slave","前奴隶"
"Prisoner","囚犯"
"Former prisoner","前囚徒"
"Worker","工人"
"Former worker","前工人"
"No squad assigned","未指定小队"
"No orders","没有订单"
"expedition leader","远征领袖"
"Leave this menu and recenter on this creature.","离开该菜单并重定位至该生物."
"Leave this menu and view this creature's sheet.","离开该菜单并查看这个生物的列表."
"Leave this menu and recenter on this object.","离开该菜单并重定位至该物体."
"Leave this menu and view this object's sheet.","离开该菜单并查看这个物品的列表."
"Leave this menu and recenter on this place.","离开该菜单并重定位至该地区."
"Leave this menu and view this place's sheet or menu.","离开该菜单并查看该地区的列表或菜单."
"Leave this menu and recenter on the task's building.","离开这个菜单,重新定位到任务的建筑上."
"I don't feel like I need to chase anything.","我不觉得我需要追逐任何东西."
"View","查看"
#[----------end reviewed dict----------]
